Timestamp,Local time,Counter,Interpolated,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Quaternion 0,Quaternion 1,Quaternion 2,Quaternion 3
1749332418.3961,14:40:18.396,16,false,0.778361,0.297424,0.547119,-0.079712,0.892958,-0.39295,-0.228519,-5.345299,34.900546,-20.334889
1749332418.4272,14:40:18.427,17,false,0.778373,0.297424,0.547119,-0.07959,0.899794,-0.38172,-0.228031,-5.423877,34.819968,-20.409891
1749332418.4584,14:40:18.458,18,false,0.778339,0.297241,0.547302,-0.079346,0.894423,-0.367559,-0.223148,-5.315151,34.83717,-20.46244
1749332418.4895,14:40:18.489,19,false,0.778395,0.296936,0.547424,-0.079102,0.88368,-0.371954,-0.212406,-5.30702,34.912467,-20.449918
1749332418.5206,14:40:18.520,20,false,0.778424,0.296875,0.547424,-0.079041,0.898329,-0.37586,-0.216312,-5.299703,34.875558,-20.618095
1749332418.5518,14:40:18.551,21,false,0.778454,0.296814,0.547424,-0.078979,0.889052,-0.379278,-0.228031,-5.397794,34.812432,-20.724593
1749332418.5829,14:40:18.582,22,false,0.778441,0.296814,0.547424,-0.079102,0.895399,-0.363653,-0.221195,-5.336537,34.755618,-20.70081
1749332418.6141,14:40:18.614,23,false,0.778405,0.296814,0.547485,-0.079041,0.895888,-0.378302,-0.220218,-5.311314,34.779255,-20.649497
1749332418.6454,14:40:18.645,24,false,0.778261,0.296997,0.547607,-0.078918,0.899794,-0.376837,-0.218265,-5.408244,34.65099,-20.707993
1749332418.6767,14:40:18.676,25,false,0.778228,0.296875,0.547729,-0.078857,0.902724,-0.371466,-0.227543,-5.390804,34.774813,-20.700824
1749332418.7081,14:40:18.708,26,false,0.778231,0.296692,0.547852,-0.078674,0.900771,-0.370001,-0.2168,-5.434923,34.796531,-20.679418
1749332418.7394,14:40:18.739,27,false,0.778113,0.296631,0.548096,-0.078369,0.911513,-0.371954,-0.209964,-5.444723,34.63663,-20.705014
1749332418.7707,14:40:18.770,28,false,0.778161,0.29657,0.548096,-0.078125,0.900771,-0.373907,-0.211917,-5.393728,34.582443,-20.92245
1749332418.8021,14:40:18.802,29,false,0.778172,0.297119,0.547852,-0.077637,0.891005,-0.370001,-0.217288,-5.467462,34.608444,-20.968604
1749332418.8332,14:40:18.833,30,false,0.778245,0.297424,0.547668,-0.077026,0.885634,-0.374884,-0.221195,-5.369331,34.601937,-20.905466
1749332418.8644,14:40:18.864,31,false,0.778372,0.297729,0.547424,-0.076294,0.88661,-0.389044,-0.22266,-5.38569,34.416635,-20.938365
1749332418.8955,14:40:18.895,0,false,0.778449,0.297668,0.547424,-0.075745,0.893935,-0.383673,-0.219242,-5.415367,34.384447,-20.848344
1749332418.9266,14:40:18.926,1,false,0.778485,0.297974,0.547241,-0.0755,0.900282,-0.383185,-0.2168,-5.427123,34.415293,-20.782278
1749332418.9578,14:40:18.957,2,false,0.778475,0.298828,0.546814,-0.075317,0.88954,-0.385138,-0.215824,-5.407795,34.308471,-20.76768
