Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1749332417.7634","14:40:17.763","3","69","1.0","67","4","4","0","4","4"
"1749332418.2628","14:40:18.262","3","69","1.0","67","4","4","0","4","4"
"1749332418.7628","14:40:18.762","3","69","1.0","67","4","4","0","4","4"
"1749332419.2625","14:40:19.262","3","69","1.0","67","4","4","0","4","4"
"1749332419.7625","14:40:19.762","3","69","1.0","67","4","4","0","4","4"
"1749332420.2627","14:40:20.262","3","69","1.0","67","4","4","0","4","4"
"1749332420.7628","14:40:20.762","3","69","1.0","67","4","4","0","4","4"
"1749332421.2624","14:40:21.262","3","69","1.0","67","4","4","0","4","4"
"1749332421.7623","14:40:21.762","3","69","1.0","67","4","4","0","4","4"
"1749332422.2624","14:40:22.262","3","69","1.0","67","4","4","0","4","4"
"1749332422.7616","14:40:22.761","3","69","1.0","67","4","4","0","4","4"
"1749332423.2616","14:40:23.261","3","69","1.0","67","4","4","0","4","4"
"1749332423.7618","14:40:23.761","3","69","1.0","67","4","4","0","4","4"
"1749332424.2614","14:40:24.261","3","69","1.0","67","4","4","0","4","4"
"1749332424.7611","14:40:24.761","3","69","1.0","67","4","4","0","4","4"
"1749332425.261","14:40:25.261","3","69","1.0","67","4","4","0","4","4"
"1749332425.7604","14:40:25.760","3","69","1.0","67","4","4","0","4","4"
"1749332426.2605","14:40:26.260","3","69","1.0","67","4","4","0","4","4"
"1749332426.7604","14:40:26.760","3","69","1.0","67","4","4","0","4","4"
"1749332427.26","14:40:27.260","3","69","1.0","67","4","4","0","4","4"
"1749332427.7599","14:40:27.759","3","69","1.0","67","4","4","0","4","4"
"1749332428.2605","14:40:28.260","3","69","1.0","67","4","4","0","4","4"
"1749332428.7599","14:40:28.759","3","69","1.0","67","4","4","0","4","4"
"1749332429.2596","14:40:29.259","3","69","1.0","67","4","4","0","4","4"
"1749332429.7598","14:40:29.759","3","69","1.0","67","4","4","0","4","4"
"1749332430.2596","14:40:30.259","3","69","1.0","67","4","4","0","4","4"
"1749332430.7593","14:40:30.759","3","69","1.0","67","4","4","0","4","4"
"1749332431.2595","14:40:31.259","3","69","1.0","67","4","4","0","4","4"
"1749332431.7595","14:40:31.759","3","69","1.0","67","4","4","0","4","4"
"1749332432.2592","14:40:32.259","3","69","1.0","67","4","4","0","4","4"
"1749332432.7592","14:40:32.759","3","69","1.0","67","4","4","0","4","4"
"1749332433.259","14:40:33.259","3","69","1.0","67","4","4","0","4","4"
"1749332433.7585","14:40:33.758","3","69","1.0","67","4","4","0","4","4"
"1749332434.2587","14:40:34.258","3","69","1.0","67","4","4","0","4","4"
"1749332434.7586","14:40:34.758","3","69","1.0","67","4","4","0","4","4"
"1749332435.2581","14:40:35.258","3","69","1.0","67","4","4","0","4","4"
"1749332435.7582","14:40:35.758","3","69","1.0","67","4","4","0","4","4"
"1749332436.258","14:40:36.258","3","69","1.0","67","4","4","0","4","4"
"1749332436.7577","14:40:36.757","3","69","1.0","67","4","4","0","4","4"
"1749332437.2575","14:40:37.257","3","69","1.0","67","4","4","0","4","4"
"1749332437.7571","14:40:37.757","3","69","1.0","67","4","4","0","4","4"
"1749332438.2566","14:40:38.256","3","69","1.0","67","4","4","0","4","4"
"1749332438.7568","14:40:38.756","3","69","1.0","67","4","4","0","4","4"
"1749332439.2568","14:40:39.256","3","69","1.0","67","4","4","0","4","4"
"1749332439.7569","14:40:39.756","3","69","1.0","67","4","4","0","4","4"
"1749332440.2566","14:40:40.256","3","69","1.0","67","4","4","0","4","4"
