Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1749332417.3186,14:40:17.318,neutral,surprise,0.127411,neutral,0.0
1749332417.3497,14:40:17.349,neutral,surprise,0.127411,neutral,0.0
1749332417.3809,14:40:17.380,neutral,surprise,0.197649,neutral,0.0
1749332417.412,14:40:17.412,neutral,surprise,0.197649,neutral,0.0
1749332417.4432,14:40:17.443,neutral,surprise,0.197649,neutral,0.0
1749332417.4743,14:40:17.474,neutral,surprise,0.197649,neutral,0.0
1749332417.5054,14:40:17.505,neutral,surprise,0.290852,neutral,0.0
1749332417.5368,14:40:17.536,neutral,surprise,0.290852,neutral,0.0
1749332417.5681,14:40:17.568,neutral,surprise,0.290852,neutral,0.0
1749332417.5995,14:40:17.599,neutral,surprise,0.290852,neutral,0.0
1749332417.6308,14:40:17.630,neutral,frown,0.688359,neutral,0.0
1749332417.6621,14:40:17.662,neutral,frown,0.688359,neutral,0.0
1749332417.6933,14:40:17.693,neutral,frown,0.688359,neutral,0.0
1749332417.7244,14:40:17.724,neutral,frown,0.688359,neutral,0.0
1749332417.7556,14:40:17.755,neutral,frown,0.327313,neutral,0.0
1749332417.7867,14:40:17.786,neutral,frown,0.327313,neutral,0.0
1749332417.8178,14:40:17.817,neutral,frown,0.327313,neutral,0.0
1749332417.849,14:40:17.849,neutral,frown,0.327313,neutral,0.0
1749332417.8803,14:40:17.880,neutral,frown,0.25431,neutral,0.0
1749332417.9117,14:40:17.911,neutral,frown,0.25431,neutral,0.0
1749332417.943,14:40:17.943,neutral,frown,0.25431,neutral,0.0
1749332417.9743,14:40:17.974,neutral,frown,0.25431,neutral,0.0
1749332418.0057,14:40:18.005,neutral,frown,0.346139,neutral,0.0
1749332418.037,14:40:18.037,neutral,frown,0.346139,neutral,0.0
1749332418.0682,14:40:18.068,neutral,frown,0.346139,neutral,0.0
1749332418.0993,14:40:18.099,neutral,frown,0.346139,neutral,0.0
1749332418.1304,14:40:18.130,neutral,frown,0.402844,neutral,0.0
1749332418.1616,14:40:18.161,neutral,frown,0.402844,neutral,0.0
1749332418.1927,14:40:18.192,neutral,frown,0.402844,neutral,0.0
1749332418.2239,14:40:18.223,neutral,frown,0.402844,neutral,0.0
1749332418.255,14:40:18.255,neutral,frown,0.429074,neutral,0.0
1749332418.2863,14:40:18.286,neutral,frown,0.429074,neutral,0.0
1749332418.3177,14:40:18.317,neutral,frown,0.429074,neutral,0.0
1749332418.349,14:40:18.349,neutral,frown,0.429074,neutral,0.0
1749332418.3804,14:40:18.380,neutral,frown,0.367813,neutral,0.0
1749332418.4117,14:40:18.411,neutral,frown,0.367813,neutral,0.0
1749332418.4428,14:40:18.442,neutral,frown,0.367813,neutral,0.0
1749332418.474,14:40:18.474,neutral,frown,0.367813,neutral,0.0
1749332418.5051,14:40:18.505,neutral,neutral,0.0,laugh,1.0
1749332418.5363,14:40:18.536,neutral,neutral,0.0,laugh,1.0
1749332418.5674,14:40:18.567,neutral,neutral,0.0,laugh,1.0
1749332418.5985,14:40:18.598,neutral,neutral,0.0,laugh,1.0
1749332418.6297,14:40:18.629,neutral,neutral,0.0,laugh,0.543647
1749332418.661,14:40:18.661,neutral,neutral,0.0,laugh,0.543647
1749332418.6924,14:40:18.692,neutral,neutral,0.0,laugh,0.543647
1749332418.7237,14:40:18.723,neutral,neutral,0.0,laugh,0.543647
1749332418.755,14:40:18.755,neutral,neutral,0.0,laugh,0.48758
1749332418.7864,14:40:18.786,neutral,neutral,0.0,laugh,0.48758
1749332418.8177,14:40:18.817,neutral,neutral,0.0,laugh,0.48758
1749332418.8488,14:40:18.848,neutral,neutral,0.0,laugh,0.48758
1749332418.88,14:40:18.880,neutral,neutral,0.0,neutral,0.0
1749332418.9111,14:40:18.911,neutral,neutral,0.0,neutral,0.0
1749332418.9423,14:40:18.942,neutral,neutral,0.0,neutral,0.0
1749332418.9734,14:40:18.973,neutral,neutral,0.0,neutral,0.0
1749332419.0045,14:40:19.004,neutral,frown,0.149609,neutral,0.0
1749332419.0359,14:40:19.035,neutral,frown,0.149609,neutral,0.0
1749332419.0672,14:40:19.067,neutral,frown,0.149609,neutral,0.0
1749332419.0986,14:40:19.098,neutral,frown,0.149609,neutral,0.0
1749332419.1299,14:40:19.129,neutral,frown,0.133781,neutral,0.0
1749332419.1612,14:40:19.161,neutral,frown,0.133781,neutral,0.0
1749332419.1924,14:40:19.192,neutral,frown,0.133781,neutral,0.0
1749332419.2235,14:40:19.223,neutral,frown,0.133781,neutral,0.0
