Timestamp,Local time,Active Focus,Focus,Active Engagement,Engagement,Active Excitement,Excitement,Active Interest,Interest,Active Relaxation,Relaxation,Active Stress,Stress
1749333533.8977,14:58:53.897,true,0.557801,true,0.135981,true,0.554798,true,0.470259,true,0.153268,true,0.199682
1749333534.3984,14:58:54.398,true,0.564944,true,0.126115,true,0.520347,true,0.471759,true,0.133571,true,0.175185
1749333534.8986,14:58:54.898,true,0.568797,true,0.093047,true,0.4852,true,0.475289,true,0.122806,true,0.158708
1749333535.3978,14:58:55.397,true,0.57264,true,0.093235,true,0.451494,true,0.480282,true,0.120888,true,0.158825
1749333535.8982,14:58:55.898,true,0.570982,true,0.09375,true,0.425689,true,0.480435,true,0.120976,true,0.159118
1749333536.3976,14:58:56.397,true,0.566269,true,0.111287,true,0.395811,true,0.474358,true,0.119611,true,0.178113
1749333536.8973,14:58:56.897,true,0.561219,true,0.111663,true,0.363699,true,0.465708,true,0.12117,true,0.188295
1749333537.398,14:58:57.398,true,0.552877,true,0.128953,true,0.340772,true,0.456394,true,0.121666,true,0.200047
1749333537.8978,14:58:57.897,true,0.539384,true,0.161562,true,0.320722,true,0.450792,true,0.128764,true,0.207073
1749333538.3974,14:58:58.397,true,0.521195,true,0.164388,true,0.301376,true,0.45016,true,0.158051,true,0.244276
1749333538.8973,14:58:58.897,true,0.504775,true,0.173825,true,0.290418,true,0.452805,true,0.183124,true,0.280199
1749333539.3973,14:58:59.397,true,0.489988,true,0.177283,true,0.290429,true,0.465702,true,0.221297,true,0.309983
1749333539.8972,14:58:59.897,true,0.483265,true,0.212823,true,0.300036,true,0.489952,true,0.297906,true,0.329803
1749333540.3978,14:59:00.397,true,0.49027,true,0.246012,true,0.311652,true,0.516181,true,0.377274,true,0.367765
1749333540.8972,14:59:00.897,true,0.499454,true,0.274797,true,0.313774,true,0.531521,true,0.470407,true,0.428297
1749333541.3963,14:59:01.396,true,0.513009,true,0.274849,true,0.31855,true,0.529064,true,0.482288,true,0.436821
1749333541.8965,14:59:01.896,true,0.525193,true,0.260237,true,0.335974,true,0.515113,true,0.482276,true,0.436812
1749333542.3959,14:59:02.395,true,0.530864,true,0.247163,true,0.363194,true,0.501495,true,0.440955,true,0.436406
1749333542.8954,14:59:02.895,true,0.533579,true,0.240558,true,0.394619,true,0.491668,true,0.440949,true,0.436398
1749333543.3954,14:59:03.395,true,0.53146,true,0.207662,true,0.403316,true,0.483167,true,0.437661,true,0.427924
1749333543.895,14:59:03.895,true,0.520509,true,0.207753,true,0.425745,true,0.473813,true,0.412468,true,0.404691
1749333544.3943,14:59:04.394,true,0.510636,true,0.20686,true,0.43338,true,0.466175,true,0.374945,true,0.385697
1749333544.8941,14:59:04.894,true,0.501759,true,0.191571,true,0.433373,true,0.462909,true,0.336165,true,0.363879
1749333545.3944,14:59:05.394,true,0.493768,true,0.186719,true,0.435158,true,0.46202,true,0.336172,true,0.352876
1749333545.8939,14:59:05.893,true,0.486579,true,0.186826,true,0.436729,true,0.461235,true,0.350685,true,0.351317
1749333546.3935,14:59:06.393,true,0.485195,true,0.197452,true,0.436721,true,0.459442,true,0.35069,true,0.349388
1749333546.8935,14:59:06.893,true,0.488383,true,0.216671,true,0.435033,true,0.458419,true,0.352389,true,0.339169
1749333547.393,14:59:07.393,true,0.489311,true,0.258558,true,0.430757,true,0.459542,true,0.352394,true,0.339173
1749333547.8928,14:59:07.892,true,0.498455,true,0.265013,true,0.424773,true,0.461277,true,0.352399,true,0.336015
1749333548.393,14:59:08.393,true,0.50715,true,0.265823,true,0.412032,true,0.460775,true,0.330974,true,0.346102
1749333548.8929,14:59:08.892,true,0.516923,true,0.269222,true,0.39895,true,0.458607,true,0.326934,true,0.339215
1749333549.3925,14:59:09.392,true,0.525707,true,0.269278,true,0.385285,true,0.456153,true,0.30802,true,0.33922
1749333549.8925,14:59:09.892,true,0.525775,true,0.265483,true,0.385028,true,0.453367,true,0.277341,true,0.30572
1749333550.392,14:59:10.392,true,0.527942,true,0.243773,true,0.379185,true,0.449962,true,0.265279,true,0.296156
1749333550.8914,14:59:10.891,true,0.529891,true,0.219799,true,0.365819,true,0.44707,true,0.253426,true,0.29617
1749333551.3916,14:59:11.391,true,0.531643,true,0.219883,true,0.353822,true,0.44451,true,0.253449,true,0.304909
1749333551.8917,14:59:11.891,true,0.53524,true,0.233047,true,0.34277,true,0.441779,true,0.279048,true,0.331662
1749333552.3911,14:59:12.391,true,0.543804,true,0.262651,true,0.330862,true,0.441349,true,0.304036,true,0.348534
1749333552.8913,14:59:12.891,true,0.551489,true,0.272645,true,0.313674,true,0.443366,true,0.304092,true,0.352746
1749333553.3914,14:59:13.391,true,0.566645,true,0.277819,true,0.292046,true,0.445411,true,0.308419,true,0.361403
1749333553.8908,14:59:13.890,true,0.576827,true,0.317378,true,0.268321,true,0.445473,true,0.308731,true,0.361405
1749333554.3907,14:59:14.390,true,0.587547,true,0.317413,true,0.247562,true,0.442645,true,0.308443,true,0.361407
1749333554.891,14:59:14.891,true,0.597032,true,0.313334,true,0.233545,true,0.440186,true,0.29614,true,0.35782
1749333555.3903,14:59:15.390,true,0.605504,true,0.288667,true,0.233566,true,0.442562,true,0.267881,true,0.344781
1749333555.8905,14:59:15.890,true,0.613072,true,0.272999,true,0.238757,true,0.451872,true,0.25432,true,0.335324
1749333556.3908,14:59:16.390,true,0.60916,true,0.26799,true,0.246249,true,0.464678,true,0.225687,true,0.323505
1749333556.8904,14:59:16.890,true,0.604455,true,0.257714,true,0.246267,true,0.47418,true,0.22572,true,0.323513
1749333557.3906,14:59:17.390,true,0.600203,true,0.234469,true,0.242858,true,0.474494,true,0.262602,true,0.358663
1749333557.8907,14:59:17.890,true,0.596362,true,0.229343,true,0.232099,true,0.465445,true,0.262623,true,0.358665
1749333558.3901,14:59:18.390,true,0.598681,true,0.22942,true,0.222149,true,0.454286,true,0.230614,true,0.315778
1749333558.8898,14:59:18.889,true,0.600762,true,0.233374,true,0.213851,true,0.446912,true,0.205392,true,0.287525
1749333559.3898,14:59:19.389,true,0.603823,true,0.233448,true,0.204332,true,0.4446,true,0.197848,true,0.274324
1749333559.8894,14:59:19.889,true,0.623583,true,0.19967,true,0.200409,true,0.444878,true,0.190435,true,0.26829
1749333560.3895,14:59:20.389,true,0.629476,true,0.194633,true,0.200318,true,0.445964,true,0.180844,true,0.267802
1749333560.8895,14:59:20.889,true,0.626779,true,0.159309,true,0.200265,true,0.447779,true,0.15235,true,0.243068
1749333561.389,14:59:21.389,true,0.63233,true,0.150655,true,0.199925,true,0.449225,true,0.146043,true,0.237097
1749333561.8891,14:59:21.889,true,0.645594,true,0.141983,true,0.198068,true,0.448921,true,0.141712,true,0.234104
1749333562.3889,14:59:22.388,true,0.657338,true,0.131889,true,0.197219,true,0.446387,true,0.122058,true,0.227533
1749333562.8887,14:59:22.888,true,0.667739,true,0.132041,true,0.192696,true,0.442778,true,0.117439,true,0.212424
1749333563.3886,14:59:23.388,true,0.681368,true,0.140398,true,0.190543,true,0.438403,true,0.116895,true,0.211146
1749333563.8886,14:59:23.888,true,0.69751,true,0.154543,true,0.190575,true,0.433268,true,0.11762,true,0.211204
1749333564.3882,14:59:24.388,true,0.715052,true,0.169412,true,0.199357,true,0.428556,true,0.125232,true,0.215911
1749333564.8879,14:59:24.887,true,0.736507,true,0.178479,true,0.207398,true,0.424885,true,0.133772,true,0.215965
1749333565.3877,14:59:25.387,true,0.760582,true,0.178944,true,0.210755,true,0.422784,true,0.133851,true,0.214798
1749333565.8878,14:59:25.887,true,0.783898,true,0.179056,true,0.210782,true,0.423024,true,0.133929,true,0.214853
1749333566.3875,14:59:26.387,true,0.800606,true,0.154684,true,0.205682,true,0.424986,true,0.136189,true,0.224098
1749333566.8875,14:59:26.887,true,0.812753,true,0.153649,true,0.203707,true,0.426892,true,0.136598,true,0.224145
1749333567.3871,14:59:27.387,true,0.823165,true,0.153782,true,0.203735,true,0.4323,true,0.140358,true,0.226527
1749333567.8866,14:59:27.886,true,0.828844,true,0.162925,true,0.206722,true,0.447006,true,0.154398,true,0.232073
1749333568.3866,14:59:28.386,true,0.817089,true,0.174641,true,0.20675,true,0.464674,true,0.154463,true,0.235125
1749333568.8868,14:59:28.886,true,0.801924,true,0.176036,true,0.205856,true,0.474983,true,0.154529,true,0.236201
1749333569.3865,14:59:29.386,true,0.779973,true,0.174871,true,0.202292,true,0.473178,true,0.157105,true,0.239141
1749333569.8863,14:59:29.886,true,0.756474,true,0.158596,true,0.196835,true,0.464238,true,0.157169,true,0.239179
1749333570.3863,14:59:30.386,true,0.739018,true,0.13948,true,0.191795,true,0.456865,true,0.158189,true,0.229578
1749333570.8858,14:59:30.885,true,0.727127,true,0.133106,true,0.185775,true,0.450699,true,0.158297,true,0.229622
1749333571.3858,14:59:31.385,true,0.725072,true,0.133258,true,0.180801,true,0.445055,true,0.187503,true,0.249417
1749333571.8862,14:59:31.886,true,0.721717,true,0.138423,true,0.17961,true,0.440692,true,0.205196,true,0.251761
