Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1749333536.2415,14:58:56.241,neutral,frown,0.117936,neutral,0.0
1749333536.2729,14:58:56.272,neutral,frown,0.156394,neutral,0.0
1749333536.3042,14:58:56.304,neutral,frown,0.156394,neutral,0.0
1749333536.3353,14:58:56.335,neutral,frown,0.156394,neutral,0.0
1749333536.3665,14:58:56.366,neutral,frown,0.156394,neutral,0.0
1749333536.3976,14:58:56.397,neutral,frown,0.175567,neutral,0.0
1749333536.4287,14:58:56.428,neutral,frown,0.175567,neutral,0.0
1749333536.4599,14:58:56.459,neutral,frown,0.175567,neutral,0.0
1749333536.491,14:58:56.491,neutral,frown,0.175567,neutral,0.0
1749333536.5222,14:58:56.522,neutral,frown,0.165177,neutral,0.0
1749333536.5535,14:58:56.553,neutral,frown,0.165177,neutral,0.0
1749333536.5848,14:58:56.584,neutral,frown,0.165177,neutral,0.0
1749333536.6162,14:58:56.616,neutral,frown,0.165177,neutral,0.0
1749333536.6475,14:58:56.647,neutral,frown,0.086909,neutral,0.0
1749333536.6789,14:58:56.678,neutral,frown,0.086909,neutral,0.0
1749333536.7101,14:58:56.710,neutral,frown,0.086909,neutral,0.0
1749333536.7414,14:58:56.741,neutral,frown,0.086909,neutral,0.0
1749333536.7728,14:58:56.772,neutral,frown,0.098456,neutral,0.0
1749333536.8039,14:58:56.803,neutral,frown,0.098456,neutral,0.0
1749333536.8351,14:58:56.835,neutral,frown,0.098456,neutral,0.0
1749333536.8662,14:58:56.866,neutral,frown,0.098456,neutral,0.0
1749333536.8973,14:58:56.897,neutral,frown,0.099838,neutral,0.0
1749333536.9287,14:58:56.928,neutral,frown,0.099838,neutral,0.0
1749333536.96,14:58:56.960,neutral,frown,0.099838,neutral,0.0
1749333536.9914,14:58:56.991,neutral,frown,0.099838,neutral,0.0
1749333537.0227,14:58:57.022,neutral,frown,0.191117,neutral,0.0
1749333537.054,14:58:57.054,neutral,frown,0.191117,neutral,0.0
1749333537.0854,14:58:57.085,neutral,frown,0.191117,neutral,0.0
1749333537.1167,14:58:57.116,neutral,frown,0.191117,neutral,0.0
1749333537.1479,14:58:57.147,neutral,frown,0.19204,neutral,0.0
1749333537.179,14:58:57.179,neutral,frown,0.19204,neutral,0.0
1749333537.2101,14:58:57.210,neutral,frown,0.19204,neutral,0.0
1749333537.2413,14:58:57.241,neutral,frown,0.19204,neutral,0.0
1749333537.2726,14:58:57.272,neutral,frown,0.117066,neutral,0.0
1749333537.304,14:58:57.304,neutral,frown,0.117066,neutral,0.0
1749333537.3353,14:58:57.335,neutral,frown,0.117066,neutral,0.0
1749333537.3666,14:58:57.366,neutral,frown,0.117066,neutral,0.0
1749333537.398,14:58:57.398,neutral,frown,0.10186,neutral,0.0
1749333537.4293,14:58:57.429,neutral,frown,0.10186,neutral,0.0
1749333537.4605,14:58:57.460,neutral,frown,0.10186,neutral,0.0
1749333537.4916,14:58:57.491,neutral,frown,0.10186,neutral,0.0
1749333537.5227,14:58:57.522,neutral,frown,0.09028,neutral,0.0
1749333537.5539,14:58:57.553,neutral,frown,0.09028,neutral,0.0
1749333537.5852,14:58:57.585,neutral,frown,0.09028,neutral,0.0
1749333537.6164,14:58:57.616,neutral,frown,0.09028,neutral,0.0
1749333537.6475,14:58:57.647,neutral,frown,0.065752,neutral,0.0
1749333537.6788,14:58:57.678,neutral,frown,0.065752,neutral,0.0
