Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1749333533.9055","14:58:53.905","3","67","1.0","83","4","4","2","4","4"
"1749333534.4062","14:58:54.406","3","67","1.0","83","4","4","2","4","4"
"1749333534.9064","14:58:54.906","3","67","1.0","83","4","4","2","4","4"
"1749333535.4056","14:58:55.405","3","67","1.0","83","4","4","2","4","4"
"1749333535.906","14:58:55.906","3","67","1.0","83","4","4","2","4","4"
"1749333536.4054","14:58:56.405","3","67","1.0","83","4","4","2","4","4"
"1749333536.9052","14:58:56.905","3","67","1.0","83","4","4","2","4","4"
"1749333537.4058","14:58:57.405","3","67","1.0","83","4","4","2","4","4"
"1749333537.9056","14:58:57.905","3","67","1.0","83","4","4","2","4","4"
"1749333538.4053","14:58:58.405","3","67","1.0","83","4","4","2","4","4"
"1749333538.9051","14:58:58.905","3","67","1.0","83","4","4","2","4","4"
"1749333539.4051","14:58:59.405","3","67","1.0","83","4","4","2","4","4"
"1749333539.905","14:58:59.905","3","67","1.0","83","4","4","2","4","4"
"1749333540.4056","14:59:00.405","3","67","1.0","83","4","4","2","4","4"
"1749333540.905","14:59:00.905","3","67","1.0","83","4","4","2","4","4"
"1749333541.4041","14:59:01.404","3","67","1.0","83","4","4","2","4","4"
"1749333541.9043","14:59:01.904","3","67","1.0","83","4","4","2","4","4"
"1749333542.4037","14:59:02.403","3","67","1.0","83","4","4","2","4","4"
"1749333542.9032","14:59:02.903","3","67","1.0","83","4","4","2","4","4"
"1749333543.4032","14:59:03.403","3","67","1.0","83","4","4","2","4","4"
"1749333543.9028","14:59:03.902","3","67","1.0","83","4","4","2","4","4"
"1749333544.4021","14:59:04.402","3","67","1.0","83","4","4","2","4","4"
"1749333544.9019","14:59:04.901","3","67","1.0","83","4","4","2","4","4"
"1749333545.4022","14:59:05.402","3","67","1.0","83","4","4","2","4","4"
"1749333545.9017","14:59:05.901","3","67","1.0","83","4","4","2","4","4"
"1749333546.4013","14:59:06.401","3","67","1.0","83","4","4","2","4","4"
"1749333546.9013","14:59:06.901","3","67","1.0","83","4","4","2","4","4"
"1749333547.4008","14:59:07.400","3","67","1.0","83","4","4","2","4","4"
"1749333547.9006","14:59:07.900","3","67","1.0","83","4","4","2","4","4"
"1749333548.4008","14:59:08.400","3","67","1.0","83","4","4","2","4","4"
"1749333548.9007","14:59:08.900","3","67","1.0","83","4","4","2","4","4"
"1749333549.4003","14:59:09.400","3","67","1.0","83","4","4","2","4","4"
"1749333549.9004","14:59:09.900","3","67","1.0","83","4","4","2","4","4"
"1749333550.3998","14:59:10.399","3","67","1.0","83","4","4","2","4","4"
"1749333550.8992","14:59:10.899","3","67","1.0","83","4","4","2","4","4"
"1749333551.3994","14:59:11.399","3","67","1.0","83","4","4","2","4","4"
"1749333551.8995","14:59:11.899","3","67","1.0","83","4","4","2","4","4"
"1749333552.3989","14:59:12.398","3","67","1.0","83","4","4","2","4","4"
"1749333552.8992","14:59:12.899","3","67","1.0","83","4","4","2","4","4"
"1749333553.3992","14:59:13.399","3","67","1.0","83","4","4","2","4","4"
"1749333553.8986","14:59:13.898","3","67","1.0","83","4","4","2","4","4"
"1749333554.3986","14:59:14.398","3","67","1.0","83","4","4","2","4","4"
"1749333554.8988","14:59:14.898","3","67","1.0","83","4","4","2","4","4"
"1749333555.3981","14:59:15.398","3","67","1.0","83","4","4","2","4","4"
"1749333555.8984","14:59:15.898","3","67","1.0","83","4","4","2","4","4"
"1749333556.3986","14:59:16.398","3","67","1.0","83","4","4","2","4","4"
"1749333556.8982","14:59:16.898","3","67","1.0","83","4","4","2","4","4"
"1749333557.3985","14:59:17.398","3","67","1.0","83","4","4","2","4","4"
"1749333557.8985","14:59:17.898","3","67","1.0","83","4","4","2","4","4"
"1749333558.3979","14:59:18.397","3","67","1.0","83","4","4","2","4","4"
"1749333558.8976","14:59:18.897","3","67","1.0","83","4","4","2","4","4"
"1749333559.3976","14:59:19.397","3","67","1.0","83","4","4","2","4","4"
"1749333559.8972","14:59:19.897","3","67","1.0","83","4","4","2","4","4"
"1749333560.3973","14:59:20.397","3","67","1.0","83","4","4","2","4","4"
"1749333560.8973","14:59:20.897","3","67","1.0","83","4","4","2","4","4"
"1749333561.3968","14:59:21.396","3","67","1.0","83","4","4","2","4","4"
"1749333561.8969","14:59:21.896","3","67","1.0","83","4","4","2","4","4"
"1749333562.3967","14:59:22.396","3","67","1.0","83","4","4","2","4","4"
"1749333562.8965","14:59:22.896","3","67","1.0","83","4","4","2","4","4"
"1749333563.3964","14:59:23.396","3","67","1.0","83","4","4","2","4","4"
"1749333563.8964","14:59:23.896","3","67","1.0","83","4","4","2","4","4"
"1749333564.396","14:59:24.396","3","67","1.0","83","4","4","2","4","4"
"1749333564.8957","14:59:24.895","3","67","1.0","83","4","4","2","4","4"
"1749333565.3955","14:59:25.395","3","67","1.0","83","4","4","2","4","4"
"1749333565.8956","14:59:25.895","3","67","1.0","83","4","4","2","4","4"
"1749333566.3953","14:59:26.395","3","67","1.0","83","4","4","2","4","4"
"1749333566.8953","14:59:26.895","3","67","1.0","83","4","4","2","4","4"
"1749333567.3949","14:59:27.394","3","67","1.0","83","4","4","2","4","4"
"1749333567.8944","14:59:27.894","3","67","1.0","83","4","4","2","4","4"
"1749333568.3944","14:59:28.394","3","67","1.0","83","4","4","2","4","4"
"1749333568.8946","14:59:28.894","3","67","1.0","83","4","4","2","4","4"
"1749333569.3943","14:59:29.394","3","67","1.0","83","4","4","2","4","4"
"1749333569.8941","14:59:29.894","3","67","1.0","83","4","4","2","4","4"
"1749333570.3941","14:59:30.394","3","67","1.0","83","4","4","2","4","4"
"1749333570.8936","14:59:30.893","3","67","1.0","83","4","4","2","4","4"
"1749333571.3936","14:59:31.393","3","67","1.0","83","4","4","2","4","4"
"1749333571.8941","14:59:31.894","3","67","1.0","83","4","4","2","4","4"
"1749333572.3935","14:59:32.393","3","67","1.0","83","4","4","2","4","4"
"1749333572.8935","14:59:32.893","3","67","1.0","83","4","4","2","4","4"
"1749333573.3935","14:59:33.393","3","67","1.0","83","4","4","2","4","4"
"1749333573.8929","14:59:33.892","3","67","1.0","83","4","4","2","4","4"
"1749333574.3927","14:59:34.392","3","67","1.0","83","4","4","2","4","4"
"1749333574.893","14:59:34.893","3","67","1.0","83","4","4","2","4","4"
"1749333575.3926","14:59:35.392","3","67","1.0","83","4","4","2","4","4"
"1749333575.8922","14:59:35.892","3","67","1.0","83","4","4","2","4","4"
"1749333576.3921","14:59:36.392","3","67","1.0","83","4","4","2","4","4"
"1749333576.8917","14:59:36.891","3","67","1.0","83","4","4","2","4","4"
"1749333577.3913","14:59:37.391","3","67","1.0","83","4","4","2","4","4"
"1749333577.8914","14:59:37.891","3","67","1.0","83","4","4","2","4","4"
"1749333578.3908","14:59:38.390","3","67","1.0","83","4","4","2","4","4"
"1749333578.8904","14:59:38.890","3","67","1.0","83","4","4","2","4","4"
"1749333579.3909","14:59:39.390","3","67","1.0","83","4","4","2","4","4"
"1749333579.8909","14:59:39.890","3","67","1.0","83","4","4","2","4","4"
"1749333580.3905","14:59:40.390","3","67","1.0","83","4","4","2","4","4"
"1749333580.8908","14:59:40.890","3","67","1.0","83","4","4","2","4","4"
"1749333581.3904","14:59:41.390","3","67","1.0","83","4","4","2","4","4"
"1749333581.8898","14:59:41.889","3","67","1.0","83","4","4","2","4","4"
"1749333582.3899","14:59:42.389","3","67","1.0","83","4","4","2","4","4"
"1749333582.89","14:59:42.890","3","67","1.0","83","4","4","2","4","4"
"1749333583.3894","14:59:43.389","3","67","1.0","83","4","4","2","4","4"
"1749333583.8897","14:59:43.889","3","67","1.0","83","4","4","2","4","4"
"1749333584.3895","14:59:44.389","3","67","1.0","83","4","4","2","4","4"
"1749333584.8887","14:59:44.888","3","67","1.0","83","4","4","2","4","4"
"1749333585.389","14:59:45.389","3","67","1.0","83","4","4","2","4","4"
"1749333585.8889","14:59:45.888","3","67","1.0","83","4","4","2","4","4"
"1749333586.3881","14:59:46.388","3","67","1.0","83","4","4","2","4","4"
"1749333586.8882","14:59:46.888","3","67","1.0","83","4","4","2","4","4"
"1749333587.3882","14:59:47.388","3","67","1.0","83","4","4","2","4","4"
"1749333587.8878","14:59:47.887","3","67","1.0","83","4","4","2","4","4"
"1749333588.3881","14:59:48.388","3","67","1.0","83","4","4","2","4","4"
"1749333588.8881","14:59:48.888","3","67","1.0","83","4","4","2","4","4"
"1749333589.3875","14:59:49.387","3","67","1.0","83","4","4","2","4","4"
"1749333589.8874","14:59:49.887","3","67","1.0","83","4","4","2","4","4"
"1749333590.3874","14:59:50.387","3","67","1.0","83","4","4","2","4","4"
"1749333590.8868","14:59:50.886","3","67","1.0","83","4","4","2","4","4"
"1749333591.387","14:59:51.387","3","67","1.0","83","4","4","2","4","4"
"1749333591.8872","14:59:51.887","3","67","1.0","83","4","4","2","4","4"
"1749333592.3868","14:59:52.386","3","67","1.0","83","4","4","2","4","4"
"1749333592.8863","14:59:52.886","3","67","1.0","83","4","4","2","4","4"
"1749333593.3863","14:59:53.386","3","67","1.0","83","4","4","2","4","4"
"1749333593.8861","14:59:53.886","3","67","1.0","83","4","4","2","4","4"
"1749333594.3858","14:59:54.385","3","67","1.0","83","4","4","2","4","4"
"1749333594.8858","14:59:54.885","3","67","1.0","83","4","4","2","4","4"
"1749333595.3856","14:59:55.385","3","67","1.0","83","4","4","2","4","4"
"1749333595.8853","14:59:55.885","3","67","1.0","83","4","4","2","4","4"
"1749333596.3859","14:59:56.385","3","67","1.0","83","4","4","2","4","4"
"1749333596.8861","14:59:56.886","3","67","1.0","83","4","4","2","4","4"
"1749333597.3853","14:59:57.385","3","67","1.0","83","4","4","2","4","4"
"1749333597.8853","14:59:57.885","3","67","1.0","83","4","4","2","4","4"
"1749333598.385","14:59:58.385","3","67","1.0","83","4","4","2","4","4"
"1749333598.8844","14:59:58.884","3","67","1.0","83","4","4","2","4","4"
"1749333599.3848","14:59:59.384","3","67","1.0","83","4","4","2","4","4"
"1749333599.8849","14:59:59.884","3","67","1.0","83","4","4","2","4","4"
"1749333600.3843","15:00:00.384","3","67","1.0","83","4","4","2","4","4"
"1749333600.8843","15:00:00.884","3","67","1.0","83","4","4","2","4","4"
"1749333601.3842","15:00:01.384","3","67","1.0","83","4","4","2","4","4"
"1749333601.8834","15:00:01.883","3","67","1.0","83","4","4","2","4","4"
"1749333602.3834","15:00:02.383","3","67","1.0","83","4","4","2","4","4"
"1749333602.8837","15:00:02.883","3","67","1.0","83","4","4","2","4","4"
"1749333603.3831","15:00:03.383","3","67","1.0","83","4","4","2","4","4"
"1749333603.8831","15:00:03.883","3","67","1.0","83","4","4","2","4","4"
"1749333604.3834","15:00:04.383","3","67","1.0","83","4","4","2","4","4"
"1749333604.8828","15:00:04.882","3","67","1.0","83","4","4","2","4","4"
"1749333605.3828","15:00:05.382","3","67","1.0","83","4","4","2","4","4"
"1749333605.8829","15:00:05.882","3","67","1.0","83","4","4","2","4","4"
"1749333606.3821","15:00:06.382","3","67","1.0","83","4","4","2","4","4"
"1749333606.8821","15:00:06.882","3","67","1.0","83","4","4","2","4","4"
"1749333607.3826","15:00:07.382","3","67","1.0","83","4","4","2","4","4"
"1749333607.8818","15:00:07.881","3","67","1.0","83","4","4","2","4","4"
"1749333608.3817","15:00:08.381","3","67","1.0","83","4","4","2","4","4"
"1749333608.882","15:00:08.882","3","67","1.0","83","4","4","2","4","4"
"1749333609.3816","15:00:09.381","3","67","1.0","83","4","4","2","4","4"
"1749333609.8814","15:00:09.881","3","67","1.0","83","4","4","2","4","4"
"1749333610.3817","15:00:10.381","3","67","1.0","83","4","4","2","4","4"
"1749333610.8811","15:00:10.881","3","67","1.0","83","4","4","2","4","4"
"1749333611.3812","15:00:11.381","3","67","1.0","83","4","4","2","4","4"
"1749333611.8815","15:00:11.881","3","67","1.0","83","4","4","2","4","4"
"1749333612.3807","15:00:12.380","3","67","1.0","83","4","4","2","4","4"
"1749333612.8801","15:00:12.880","3","67","1.0","83","4","4","2","4","4"
"1749333613.3804","15:00:13.380","3","67","1.0","83","4","4","2","4","4"
"1749333613.8798","15:00:13.879","3","67","1.0","83","4","4","2","4","4"
"1749333614.3793","15:00:14.379","3","67","1.0","83","4","4","2","4","4"
"1749333614.8797","15:00:14.879","3","67","1.0","83","4","4","2","4","4"
"1749333615.3796","15:00:15.379","3","67","1.0","83","4","4","2","4","4"
"1749333615.8791","15:00:15.879","3","67","1.0","83","4","4","2","4","4"
"1749333616.3789","15:00:16.378","3","67","1.0","83","4","4","2","4","4"
"1749333616.8791","15:00:16.879","3","67","1.0","83","4","4","2","4","4"
"1749333617.3786","15:00:17.378","3","67","1.0","83","4","4","2","4","4"
"1749333617.8788","15:00:17.878","3","67","1.0","83","4","4","2","4","4"
"1749333618.3791","15:00:18.379","3","67","1.0","83","4","4","2","4","4"
"1749333618.8788","15:00:18.878","3","67","1.0","83","4","4","2","4","4"
"1749333619.379","15:00:19.379","3","67","1.0","83","4","4","2","4","4"
"1749333619.8792","15:00:19.879","3","67","1.0","83","4","4","2","4","4"
"1749333620.3787","15:00:20.378","3","67","1.0","83","4","4","2","4","4"
"1749333620.8786","15:00:20.878","3","67","1.0","83","4","4","2","4","4"
"1749333621.379","15:00:21.379","3","67","1.0","83","4","4","2","4","4"
"1749333621.8781","15:00:21.878","3","67","1.0","83","4","4","2","4","4"
"1749333622.3779","15:00:22.377","3","67","1.0","83","4","4","2","4","4"
"1749333622.8781","15:00:22.878","3","67","1.0","83","4","4","2","4","4"
"1749333623.3776","15:00:23.377","3","67","1.0","83","4","4","2","4","4"
"1749333623.8772","15:00:23.877","3","67","1.0","83","4","4","2","4","4"
"1749333624.3772","15:00:24.377","3","67","1.0","83","4","4","2","4","4"
"1749333624.8767","15:00:24.876","3","67","1.0","83","4","4","2","4","4"
"1749333625.3761","15:00:25.376","3","67","1.0","83","4","4","2","4","4"
"1749333625.8763","15:00:25.876","3","67","1.0","83","4","4","2","4","4"
"1749333626.3756","15:00:26.375","3","67","1.0","83","4","4","2","4","4"
"1749333626.8754","15:00:26.875","3","67","1.0","83","4","4","2","4","4"
"1749333627.3757","15:00:27.375","3","67","1.0","83","4","4","2","4","4"
"1749333627.8756","15:00:27.875","3","67","1.0","83","4","4","2","4","4"
"1749333628.375","15:00:28.375","3","67","1.0","83","4","4","2","4","4"
"1749333628.875","15:00:28.875","3","67","1.0","83","4","4","2","4","4"
"1749333629.3749","15:00:29.374","3","67","1.0","83","4","4","2","4","4"
"1749333629.8745","15:00:29.874","3","67","1.0","83","4","4","2","4","4"
"1749333630.3747","15:00:30.374","3","67","1.0","83","4","4","2","4","4"
"1749333630.8747","15:00:30.874","3","67","1.0","83","4","4","2","4","4"
"1749333631.3743","15:00:31.374","3","67","1.0","83","4","4","2","4","4"
"1749333631.8743","15:00:31.874","3","67","1.0","83","4","4","2","4","4"
"1749333632.3742","15:00:32.374","3","67","1.0","83","4","4","2","4","4"
"1749333632.8737","15:00:32.873","3","67","1.0","83","4","4","2","4","4"
"1749333633.3735","15:00:33.373","3","67","1.0","83","4","4","2","4","4"
"1749333633.8736","15:00:33.873","3","67","1.0","83","4","4","2","4","4"
"1749333634.373","15:00:34.373","3","67","1.0","83","4","4","2","4","4"
"1749333634.8734","15:00:34.873","3","67","1.0","83","4","4","2","4","4"
"1749333635.3733","15:00:35.373","3","67","1.0","83","4","4","2","4","4"
"1749333635.8727","15:00:35.872","3","67","1.0","83","4","4","2","4","4"
