Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1749332970.2351,14:49:30.235,neutral,frown,0.196376,neutral,0.0
1749332970.2662,14:49:30.266,neutral,frown,0.196376,neutral,0.0
1749332970.2974,14:49:30.297,neutral,frown,0.196376,neutral,0.0
1749332970.3285,14:49:30.328,neutral,frown,0.196377,neutral,0.0
1749332970.3597,14:49:30.359,neutral,frown,0.196377,neutral,0.0
1749332970.3908,14:49:30.390,neutral,frown,0.196377,neutral,0.0
1749332970.4221,14:49:30.422,neutral,frown,0.196377,neutral,0.0
1749332970.4535,14:49:30.453,neutral,frown,0.174302,neutral,0.0
1749332970.4848,14:49:30.484,neutral,frown,0.174302,neutral,0.0
1749332970.5162,14:49:30.516,neutral,frown,0.174302,neutral,0.0
1749332970.5475,14:49:30.547,neutral,frown,0.174302,neutral,0.0
1749332970.5788,14:49:30.578,neutral,frown,0.280447,neutral,0.0
1749332970.61,14:49:30.610,neutral,frown,0.280447,neutral,0.0
1749332970.6411,14:49:30.641,neutral,frown,0.280447,neutral,0.0
1749332970.6723,14:49:30.672,neutral,frown,0.280447,neutral,0.0
1749332970.7034,14:49:30.703,blink,frown,0.816138,neutral,0.0
1749332970.7345,14:49:30.734,blink,frown,0.816138,neutral,0.0
1749332970.7657,14:49:30.765,blink,frown,0.816138,neutral,0.0
1749332970.797,14:49:30.797,blink,frown,0.816138,neutral,0.0
1749332970.8284,14:49:30.828,blink,frown,0.653941,neutral,0.0
1749332970.8597,14:49:30.859,neutral,frown,0.653941,neutral,0.0
1749332970.891,14:49:30.891,neutral,frown,0.653941,neutral,0.0
1749332970.9224,14:49:30.922,neutral,frown,0.653941,neutral,0.0
1749332970.9537,14:49:30.953,neutral,frown,0.634707,neutral,0.0
1749332970.9849,14:49:30.984,neutral,frown,0.634707,neutral,0.0
1749332971.0162,14:49:31.016,neutral,frown,0.634707,neutral,0.0
1749332971.0473,14:49:31.047,neutral,frown,0.634707,neutral,0.0
1749332971.0785,14:49:31.078,neutral,frown,0.615527,neutral,0.0
