Timestamp,Local time,Counter,Interpolated,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Quaternion 0,Quaternion 1,Quaternion 2,Quaternion 3
1749332970.2195,14:49:30.219,16,false,0.789165,0.214905,0.575256,-0.010742,0.913954,-0.316899,-0.248295,-3.328981,31.655251,-20.465598
1749332970.2506,14:49:30.250,17,false,0.78916,0.215088,0.575195,-0.010681,0.911025,-0.321294,-0.247807,-3.310113,31.73471,-20.512576
1749332970.2818,14:49:30.281,18,false,0.789135,0.215332,0.575134,-0.010864,0.91249,-0.32813,-0.251713,-3.397809,31.791269,-20.524948
1749332970.3129,14:49:30.312,19,false,0.789154,0.214905,0.575256,-0.011475,0.926162,-0.34229,-0.254154,-3.357105,31.872079,-20.431407
1749332970.344,14:49:30.344,20,false,0.78892,0.213379,0.576111,-0.013062,0.935439,-0.347173,-0.245853,-3.365333,31.79527,-20.571527
1749332970.3752,14:49:30.375,21,false,0.788392,0.211609,0.577393,-0.016663,0.919814,-0.341802,-0.245365,-3.372738,31.95045,-20.518189
1749332970.4065,14:49:30.406,22,false,0.788244,0.211243,0.577698,-0.0177,0.916884,-0.291997,-0.232181,-3.21491,31.910665,-20.574862
1749332970.4379,14:49:30.437,23,false,0.787735,0.211487,0.578247,-0.019409,0.933974,-0.272953,-0.239506,-3.057912,31.99449,-20.610913
1749332970.4692,14:49:30.469,24,false,0.787354,0.213135,0.578186,-0.018677,0.92958,-0.270024,-0.230716,-3.051197,31.980209,-20.583544
1749332970.5005,14:49:30.500,25,false,0.787224,0.216125,0.577332,-0.015991,0.918349,-0.283207,-0.242924,-3.090016,32.012218,-20.58882
1749332970.5319,14:49:30.531,26,false,0.786982,0.215881,0.577759,-0.015808,0.927138,-0.342779,-0.24097,-3.139907,31.86158,-20.698245
1749332970.5632,14:49:30.563,27,false,0.786864,0.214966,0.578247,-0.016296,0.894911,-0.379889,-0.224857,-3.169854,31.711052,-20.692051
1749332970.5944,14:49:30.594,28,false,0.786398,0.212463,0.579712,-0.019287,0.924208,-0.319829,-0.232181,-3.196807,31.799884,-20.686476
1749332970.6255,14:49:30.625,29,false,0.786199,0.211243,0.580383,-0.020569,0.922255,-0.302251,-0.24683,-3.176203,31.849925,-20.546874
1749332970.6566,14:49:30.656,30,false,0.786087,0.211487,0.580444,-0.02063,0.934463,-0.263188,-0.237064,-3.202521,31.92487,-20.555816
1749332970.6878,14:49:30.687,31,false,0.786224,0.212769,0.579834,-0.019348,0.932998,-0.266606,-0.229252,-3.166392,32.082044,-20.69845
1749332970.7189,14:49:30.718,0,false,0.7863,0.213379,0.579529,-0.018677,0.933486,-0.29688,-0.242435,-3.283414,32.118823,-20.647373
1749332970.7501,14:49:30.750,1,false,0.785558,0.211426,0.581177,-0.020752,0.911025,-0.354986,-0.234623,-3.37378,32.092109,-20.541589
1749332970.7814,14:49:30.781,2,false,0.785094,0.208984,0.582581,-0.023499,0.915419,-0.348638,-0.224369,-3.514925,32.202651,-20.386568
1749332970.8127,14:49:30.812,3,false,0.784467,0.206665,0.584106,-0.026855,0.922255,-0.286625,-0.238041,-3.402694,32.1526,-20.217141
1749332970.8441,14:49:30.844,4,false,0.784148,0.20636,0.584656,-0.02655,0.950088,-0.247562,-0.22681,-3.361502,32.272047,-20.259057
1749332970.8754,14:49:30.875,5,false,0.784157,0.20752,0.58429,-0.025269,0.935927,-0.234379,-0.228275,-3.36929,32.379549,-20.192105
1749332970.9068,14:49:30.906,6,false,0.784438,0.209717,0.583252,-0.022217,0.939345,-0.301274,-0.244877,-3.376299,32.401531,-20.206617
1749332970.9381,14:49:30.938,7,false,0.784384,0.209473,0.583435,-0.021606,0.921767,-0.326665,-0.242924,-3.382608,32.391408,-20.219678
1749332970.9692,14:49:30.969,8,false,0.784077,0.207947,0.584351,-0.022705,0.918349,-0.344732,-0.235599,-3.403239,32.397251,-20.171617
1749332971.0006,14:49:31.000,9,false,0.783593,0.205322,0.585815,-0.025391,0.935439,-0.316899,-0.224369,-3.451715,32.32774,-20.203131
1749332971.0317,14:49:31.031,10,false,0.783434,0.204651,0.586182,-0.027222,0.932998,-0.298833,-0.22681,-3.48039,32.429673,-20.216541
1749332971.0629,14:49:31.062,11,false,0.783435,0.205261,0.585938,-0.027832,0.936416,-0.265629,-0.222416,-3.551058,32.416735,-20.303378
1749332971.094,14:49:31.094,12,false,0.78348,0.205994,0.585632,-0.027588,0.930556,-0.261723,-0.230228,-3.495029,32.55463,-20.157225
1749332971.1251,14:49:31.125,13,false,0.783575,0.207825,0.5849,-0.026672,0.934463,-0.274418,-0.221927,-3.444603,32.484335,-20.279901
1749332971.1565,14:49:31.156,14,false,0.783664,0.207886,0.584778,-0.026245,0.937881,-0.308598,-0.237064,-3.459035,32.406116,-20.27068
1749332971.1878,14:49:31.187,15,false,0.783689,0.207581,0.584839,-0.02655,0.932509,-0.312505,-0.239506,-3.636516,32.425442,-20.172657
1749332971.2192,14:49:31.219,16,false,0.783859,0.207581,0.584595,-0.026917,0.930556,-0.297856,-0.238041,-3.586895,32.57742,-20.05453
1749332971.2505,14:49:31.250,17,false,0.78385,0.207458,0.584656,-0.026794,0.934463,-0.284184,-0.22388,-3.407652,32.579615,-20.082799
1749332971.2818,14:49:31.281,18,false,0.783756,0.206787,0.585022,-0.026733,0.928115,-0.290532,-0.221439,-3.545409,32.716176,-19.973657
1749332971.3132,14:49:31.313,19,false,0.783515,0.206421,0.585449,-0.027283,0.924208,-0.283696,-0.223392,-3.415176,32.704495,-19.980106
1749332971.3443,14:49:31.344,20,false,0.783462,0.206543,0.585388,-0.029114,0.925673,-0.255375,-0.209232,-3.597043,32.768753,-20.165356
1749332971.3755,14:49:31.375,21,false,0.783442,0.207397,0.585022,-0.030884,0.941299,-0.25391,-0.22681,-3.671,32.916307,-20.122728
1749332971.4066,14:49:31.406,22,false,0.783511,0.208374,0.584534,-0.031799,0.930068,-0.264164,-0.230716,-3.528208,33.034152,-20.218947
1749332971.4377,14:49:31.437,23,false,0.783979,0.209656,0.583496,-0.030884,0.941787,-0.277348,-0.24097,-3.594094,32.990674,-20.051328
1749332971.4689,14:49:31.468,24,false,0.784372,0.210754,0.582642,-0.029541,0.935927,-0.280278,-0.227298,-3.548716,33.041267,-20.169641
1749332971.5,14:49:31.500,25,false,0.784793,0.212341,0.581604,-0.027344,0.94667,-0.316411,-0.254154,-3.552736,33.056893,-20.246215
1749332971.5313,14:49:31.531,26,false,0.784756,0.212646,0.581604,-0.026001,0.917372,-0.33106,-0.251713,-3.511493,33.100865,-20.270269
1749332971.5627,14:49:31.562,27,false,0.784545,0.212219,0.582092,-0.024902,0.941787,-0.3252,-0.242435,-3.474375,32.960993,-20.262011
1749332971.594,14:49:31.594,28,false,0.783994,0.211182,0.583252,-0.023926,0.916396,-0.303716,-0.215091,-3.500783,32.924831,-20.29944
1749332971.6254,14:49:31.625,29,false,0.78372,0.210876,0.58374,-0.023682,0.922744,-0.299321,-0.220462,-3.703997,32.907239,-20.168634
1749332971.6567,14:49:31.656,30,false,0.78361,0.210815,0.583923,-0.023376,0.932509,-0.271977,-0.217044,-3.542951,32.816637,-20.125678
1749332971.688,14:49:31.688,31,false,0.783702,0.212585,0.583191,-0.022522,0.938369,-0.261234,-0.221439,-3.577456,32.884634,-20.161786
1749332971.7192,14:49:31.719,0,false,0.783873,0.214355,0.582397,-0.020203,0.933486,-0.245121,-0.224369,-3.60851,32.990693,-20.044745
1749332971.7503,14:49:31.750,1,false,0.784355,0.218445,0.580383,-0.014954,0.92372,-0.290532,-0.236576,-3.741136,32.802022,-20.044086
1749332971.7815,14:49:31.781,2,false,0.784479,0.220642,0.579468,-0.01123,0.912978,-0.344732,-0.245365,-3.78573,32.706988,-19.99863
1749332971.8126,14:49:31.812,3,false,0.784205,0.220215,0.580017,-0.010376,0.924697,-0.472175,-0.254154,-3.646418,32.561642,-20.017536
1749332971.8437,14:49:31.843,4,false,0.783043,0.21582,0.58313,-0.015015,0.904189,-0.417975,-0.225834,-3.670576,32.550462,-19.959782
1749332971.8749,14:49:31.874,5,false,0.782315,0.213013,0.585022,-0.018921,0.918837,-0.355962,-0.224369,-3.722226,32.525445,-20.027434
1749332971.906,14:49:31.906,6,false,0.781783,0.212097,0.585938,-0.022522,0.908095,-0.27686,-0.216556,-3.604219,32.5777,-19.878967
1749332971.9374,14:49:31.937,7,false,0.781797,0.212708,0.585693,-0.022644,0.927626,-0.219242,-0.216556,-3.483059,32.639683,-20.014515
1749332971.9687,14:49:31.968,8,false,0.782084,0.216492,0.583984,-0.020935,0.932998,-0.268559,-0.230716,-3.43383,32.635652,-19.972017
1749332972.0,14:49:32.000,9,false,0.781914,0.218262,0.583618,-0.019043,0.934463,-0.317388,-0.236576,-3.37457,32.542301,-19.664599
1749332972.0314,14:49:32.031,10,false,0.781003,0.21875,0.584656,-0.018982,0.914443,-0.370123,-0.22681,-3.336189,32.622777,-19.657093
1749332972.0627,14:49:32.062,11,false,0.780192,0.217834,0.585999,-0.021301,0.914443,-0.350103,-0.199954,-3.256786,32.59053,-19.500798
1749332972.0939,14:49:32.093,12,false,0.780092,0.217285,0.586304,-0.022156,0.916396,-0.30518,-0.183841,-3.289999,32.531599,-19.524626
1749332972.125,14:49:32.125,13,false,0.78012,0.216248,0.586548,-0.024719,0.934463,-0.283207,-0.214115,-3.260076,32.583238,-19.426439
1749332972.1561,14:49:32.156,14,false,0.780548,0.216064,0.585999,-0.025818,0.94374,-0.284672,-0.219486,-3.218192,32.644667,-19.532472
1749332972.1873,14:49:32.187,15,false,0.78117,0.216553,0.584961,-0.026428,0.938857,-0.278813,-0.226322,-3.330034,32.625184,-19.597993
1749332972.2184,14:49:32.218,16,false,0.781432,0.217224,0.584351,-0.026672,0.928603,-0.297856,-0.221439,-3.206384,32.682418,-19.612101
1749332972.2496,14:49:32.249,17,false,0.781572,0.217529,0.584045,-0.026794,0.927138,-0.302739,-0.227298,-3.184823,32.599345,-19.535075
1749332972.2807,14:49:32.280,18,false,0.781567,0.217773,0.583923,-0.027588,0.931533,-0.305669,-0.225345,-3.105602,32.614301,-19.630244
1749332972.312,14:49:32.312,19,false,0.781355,0.218384,0.583923,-0.028748,0.94081,-0.306645,-0.223392,-3.094119,32.65767,-19.626172
1749332972.3434,14:49:32.343,20,false,0.780913,0.218872,0.58429,-0.029602,0.924208,-0.27686,-0.218021,-3.098737,32.711656,-19.607555
1749332972.3747,14:49:32.374,21,false,0.780648,0.219543,0.584351,-0.030396,0.939834,-0.299809,-0.226322,-3.028125,32.715382,-19.516029
1749332972.4061,14:49:32.406,22,false,0.780473,0.219788,0.584473,-0.030762,0.925185,-0.288579,-0.218021,-2.979528,32.77855,-19.52338
1749332972.4374,14:49:32.437,23,false,0.780331,0.218323,0.585205,-0.030884,0.951064,-0.245121,-0.217533,-3.025513,32.98494,-19.529995
1749332972.4685,14:49:32.468,24,false,0.780214,0.214294,0.586914,-0.029602,0.940322,-0.213382,-0.202884,-3.081854,33.110876,-19.700441
1749332972.4997,14:49:32.499,25,false,0.780594,0.205139,0.589844,-0.026001,0.932021,-0.112795,-0.215091,-3.222284,33.059726,-19.68935
1749332972.5308,14:49:32.530,26,false,0.783195,0.179688,0.595093,-0.013489,0.927138,-0.177249,-0.241947,-3.124363,32.834244,-19.754137
1749332972.562,14:49:32.562,27,false,0.785821,0.1604,0.59729,-0.00116,0.929091,-0.235843,-0.301518,-3.111004,32.58645,-19.662908
1749332972.5931,14:49:32.593,28,false,0.788089,0.13678,0.599915,0.017578,0.96669,-0.321782,-0.316167,-3.084026,32.348481,-19.491078
1749332972.6242,14:49:32.624,29,false,0.787771,0.126526,0.602173,0.028198,0.955947,-0.343267,-0.284916,-3.029839,32.194124,-19.545785
1749332972.6556,14:49:32.655,30,false,0.786433,0.120239,0.604736,0.036865,0.927138,-0.332525,-0.259525,-2.846486,31.890711,-19.535206
1749332972.6869,14:49:32.686,31,false,0.783938,0.117554,0.60791,0.045471,0.921767,-0.306157,-0.225345,-2.950637,31.677454,-19.421008
1749332972.7183,14:49:32.718,0,false,0.78235,0.11908,0.609436,0.04834,0.911025,-0.316899,-0.218509,-2.939696,31.425708,-19.273368
1749332972.7496,14:49:32.749,1,false,0.780317,0.122742,0.611145,0.050415,0.913466,-0.289067,-0.209232,-2.765358,30.974828,-19.290031
1749332972.7809,14:49:32.780,2,false,0.779763,0.124329,0.611511,0.050659,0.928115,-0.285161,-0.210697,-2.698176,30.85316,-19.20035
