Timestamp,Local time,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1749332970.5319,14:49:30.531,104,false,0.0,4233.59,4361.026,4094.231,4397.308,4216.41
1749332970.5397,14:49:30.539,105,false,0.0,4255.385,4382.564,4104.231,4416.41,4219.359
1749332970.5475,14:49:30.547,106,false,0.0,4276.923,4390.641,4119.615,4437.821,4227.436
1749332970.5553,14:49:30.555,107,false,0.0,4305.641,4386.795,4133.59,4437.821,4247.692
1749332970.5632,14:49:30.563,108,false,0.0,4336.282,4389.872,4137.564,4427.949,4267.692
1749332970.571,14:49:30.571,109,false,0.0,4359.231,4379.359,4109.744,4424.103,4271.026
1749332970.5788,14:49:30.578,110,false,0.0,4388.462,4359.103,4073.077,4415.385,4270.769
1749332970.5867,14:49:30.586,111,false,0.0,4430.0,4363.077,4082.949,4418.077,4287.308
1749332970.5944,14:49:30.594,112,false,0.0,4456.923,4386.282,4121.923,4428.205,4306.538
1749332970.6022,14:49:30.602,113,false,0.0,4458.462,4402.179,4131.154,4410.641,4306.538
1749332970.61,14:49:30.610,114,false,0.0,4455.897,4399.872,4115.256,4389.103,4301.923
1749332970.6178,14:49:30.617,115,false,0.0,4456.538,4386.154,4106.41,4390.128,4310.256
1749332970.6255,14:49:30.625,116,false,0.0,4449.615,4381.667,4107.051,4389.872,4311.795
1749332970.6333,14:49:30.633,117,false,0.0,4433.974,4398.59,4118.462,4397.308,4297.949
1749332970.6411,14:49:30.641,118,false,0.0,4413.333,4422.051,4133.59,4418.077,4294.615
1749332970.6489,14:49:30.648,119,false,0.0,4393.974,4424.487,4130.0,4414.103,4297.949
1749332970.6566,14:49:30.656,120,false,0.0,4386.154,4403.846,4122.949,4408.077,4284.359
1749332970.6644,14:49:30.664,121,false,0.0,4384.103,4393.718,4136.923,4438.846,4270.385
1749332970.6723,14:49:30.672,122,false,0.0,4370.128,4404.487,4144.231,4457.179,4268.205
1749332970.6801,14:49:30.680,123,false,0.0,4350.385,4408.59,4136.41,4437.051,4260.0
1749332970.6878,14:49:30.687,124,false,0.0,4343.718,4409.487,4143.718,4427.179,4257.436
1749332970.6956,14:49:30.695,125,false,0.0,4343.077,4417.308,4152.308,4436.538,4272.436
1749332970.7034,14:49:30.703,126,false,0.0,4336.667,4406.667,4144.103,4437.179,4278.59
1749332970.7112,14:49:30.711,127,false,0.0,4334.872,4390.769,4146.923,4429.103,4273.718
1749332970.7189,14:49:30.718,0,false,0.0,4337.564,4403.59,4157.436,4416.538,4275.513
1749332970.7267,14:49:30.726,1,false,0.0,4323.974,4410.897,4151.026,4402.564,4269.744
1749332970.7345,14:49:30.734,2,false,0.0,4299.615,4389.615,4145.128,4396.795,4252.179
1749332970.7423,14:49:30.742,3,false,0.0,4284.872,4378.974,4143.333,4389.615,4244.872
1749332970.7501,14:49:30.750,4,false,0.0,4275.0,4386.41,4135.513,4375.256,4246.41
1749332970.7579,14:49:30.757,5,false,0.0,4273.846,4396.154,4150.513,4373.974,4245.256
1749332970.7657,14:49:30.765,6,false,0.0,4294.487,4417.308,4183.077,4396.154,4243.718
1749332970.7735,14:49:30.773,7,false,0.0,4296.923,4425.0,4169.615,4426.923,4239.744
1749332970.7814,14:49:30.781,8,false,0.0,4249.231,4392.692,4107.436,4446.795,4231.026
1749332970.7892,14:49:30.789,9,false,0.0,4220.385,4377.308,4085.641,4450.513,4227.949
1749332970.797,14:49:30.797,10,false,0.0,4254.872,4413.333,4139.744,4458.333,4235.0
1749332970.8048,14:49:30.804,11,false,0.0,4271.667,4424.359,4169.231,4472.436,4237.308
1749332970.8127,14:49:30.812,12,false,0.0,4237.949,4383.974,4118.462,4461.154,4225.128
1749332970.8205,14:49:30.820,13,false,0.0,4234.359,4377.692,4092.179,4439.103,4221.667
1749332970.8284,14:49:30.828,14,false,0.0,4263.462,4411.923,4125.641,4446.538,4241.538
