Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1749333011.5739","14:50:11.573","3","68","1.0","75","4","4","4","1","4"
"1749333012.074","14:50:12.074","3","68","1.0","83","4","4","4","2","4"
"1749333012.5736","14:50:12.573","3","68","1.0","83","4","4","4","2","4"
"1749333013.0729","14:50:13.072","3","68","1.0","83","4","4","4","2","4"
"1749333013.5733","14:50:13.573","3","68","1.0","83","4","4","4","2","4"
"1749333014.0735","14:50:14.073","3","68","1.0","83","4","4","4","2","4"
"1749333014.5728","14:50:14.572","3","68","1.0","75","4","4","4","1","4"
"1749333015.0726","14:50:15.072","3","68","1.0","75","4","4","4","1","4"
"1749333015.5726","14:50:15.572","3","68","1.0","75","4","4","4","1","4"
"1749333016.0723","14:50:16.072","3","68","1.0","75","4","4","4","1","4"
"1749333016.572","14:50:16.572","3","68","1.0","75","4","4","4","1","4"
"1749333017.0723","14:50:17.072","3","68","1.0","75","4","4","4","1","4"
"1749333017.5719","14:50:17.571","3","68","1.0","75","4","4","4","1","4"
"1749333018.0719","14:50:18.071","3","68","1.0","75","4","4","4","1","4"
"1749333018.5715","14:50:18.571","3","68","1.0","75","4","4","4","1","4"
"1749333019.071","14:50:19.071","3","68","1.0","75","4","4","4","1","4"
"1749333019.5708","14:50:19.570","3","68","1.0","75","4","4","4","1","4"
"1749333020.071","14:50:20.071","3","68","1.0","75","4","4","4","1","4"
"1749333020.5705","14:50:20.570","3","68","1.0","75","4","4","4","1","4"
"1749333021.0703","14:50:21.070","3","68","1.0","75","4","4","4","1","4"
"1749333021.5705","14:50:21.570","3","68","1.0","75","4","4","4","1","4"
"1749333022.07","14:50:22.070","3","68","1.0","75","4","4","4","1","4"
"1749333022.5694","14:50:22.569","3","68","1.0","75","4","4","4","1","4"
"1749333023.0695","14:50:23.069","3","68","1.0","75","4","4","4","1","4"
"1749333023.5696","14:50:23.569","3","68","1.0","83","4","4","4","2","4"
"1749333024.0688","14:50:24.068","3","68","1.0","83","4","4","4","2","4"
"1749333024.5688","14:50:24.568","3","68","1.0","83","4","4","4","2","4"
"1749333025.0693","14:50:25.069","3","68","1.0","83","4","4","4","2","4"
"1749333025.5687","14:50:25.568","3","68","1.0","83","4","4","4","2","4"
"1749333026.0685","14:50:26.068","3","68","1.0","83","4","4","4","2","4"
"1749333026.5682","14:50:26.568","3","68","1.0","83","4","4","4","2","4"
"1749333027.0678","14:50:27.067","3","68","1.0","83","4","4","4","2","4"
"1749333027.5678","14:50:27.567","3","68","1.0","83","4","4","4","2","4"
"1749333028.0679","14:50:28.067","3","68","1.0","83","4","4","4","2","4"
"1749333028.5675","14:50:28.567","3","68","1.0","83","4","4","4","2","4"
"1749333029.0676","14:50:29.067","3","68","1.0","75","4","4","4","1","4"
"1749333029.5676","14:50:29.567","3","68","1.0","75","4","4","4","1","4"
"1749333030.0668","14:50:30.066","3","68","1.0","75","4","4","4","1","4"
"1749333030.5665","14:50:30.566","3","68","1.0","75","4","4","4","1","4"
"1749333031.0669","14:50:31.066","3","68","1.0","75","4","4","4","1","4"
"1749333031.5661","14:50:31.566","3","68","1.0","75","4","4","4","1","4"
"1749333032.0662","14:50:32.066","3","68","1.0","75","4","4","4","1","4"
"1749333032.5664","14:50:32.566","3","68","1.0","75","4","4","4","1","4"
"1749333033.0658","14:50:33.065","3","68","1.0","75","4","4","4","1","4"
"1749333033.5659","14:50:33.565","3","68","1.0","75","4","4","4","1","4"
"1749333034.0663","14:50:34.066","3","68","1.0","75","4","4","4","1","4"
"1749333034.5655","14:50:34.565","3","68","1.0","75","4","4","4","1","4"
"1749333035.0654","14:50:35.065","3","68","1.0","75","4","4","4","1","4"
"1749333035.5654","14:50:35.565","3","68","1.0","75","4","4","4","1","4"
"1749333036.0652","14:50:36.065","3","68","1.0","75","4","4","4","1","4"
"1749333036.565","14:50:36.565","3","68","1.0","75","4","4","4","1","4"
"1749333037.0654","14:50:37.065","3","68","1.0","75","4","4","4","1","4"
"1749333037.5652","14:50:37.565","3","68","1.0","75","4","4","4","1","4"
"1749333038.0645","14:50:38.064","3","68","1.0","75","4","4","4","1","4"
"1749333038.5649","14:50:38.564","3","68","1.0","75","4","4","4","1","4"
"1749333039.0646","14:50:39.064","3","68","1.0","83","4","4","4","2","4"
"1749333039.5642","14:50:39.564","3","68","1.0","83","4","4","4","2","4"
"1749333040.0644","14:50:40.064","3","68","1.0","83","4","4","4","2","4"
"1749333040.5642","14:50:40.564","3","68","1.0","83","4","4","4","2","4"
"1749333041.0639","14:50:41.063","3","68","1.0","83","4","4","4","2","4"
"1749333041.5639","14:50:41.563","3","68","1.0","83","4","4","4","2","4"
"1749333042.0635","14:50:42.063","3","68","1.0","83","4","4","4","2","4"
"1749333042.563","14:50:42.563","3","68","1.0","83","4","4","4","2","4"
"1749333043.0632","14:50:43.063","3","68","1.0","83","4","4","4","2","4"
"1749333043.563","14:50:43.563","3","68","1.0","83","4","4","4","2","4"
"1749333044.0625","14:50:44.062","3","68","1.0","83","4","4","4","2","4"
"1749333044.5627","14:50:44.562","3","68","1.0","83","4","4","4","2","4"
"1749333045.0633","14:50:45.063","3","68","1.0","83","4","4","4","2","4"
"1749333045.5626","14:50:45.562","3","68","1.0","83","4","4","4","2","4"
"1749333046.0624","14:50:46.062","3","68","1.0","83","4","4","4","2","4"
"1749333046.5623","14:50:46.562","3","68","1.0","75","4","4","4","1","4"
"1749333047.062","14:50:47.062","3","68","1.0","83","4","4","4","2","4"
"1749333047.5618","14:50:47.561","3","68","1.0","75","4","4","4","1","4"
"1749333048.062","14:50:48.062","3","68","1.0","75","4","4","4","1","4"
"1749333048.5617","14:50:48.561","3","68","1.0","75","4","4","4","1","4"
"1749333049.0611","14:50:49.061","3","68","1.0","75","4","4","4","1","4"
"1749333049.5614","14:50:49.561","3","68","1.0","75","4","4","4","1","4"
"1749333050.0608","14:50:50.060","3","68","1.0","75","4","4","4","1","4"
"1749333050.5602","14:50:50.560","3","68","1.0","75","4","4","4","1","4"
"1749333051.0605","14:50:51.060","3","68","1.0","75","4","4","4","1","4"
"1749333051.5603","14:50:51.560","3","68","1.0","83","4","4","4","2","4"
"1749333052.0599","14:50:52.059","3","68","1.0","83","4","4","4","2","4"
"1749333052.5602","14:50:52.560","3","68","1.0","83","4","4","4","2","4"
"1749333053.06","14:50:53.060","3","68","1.0","83","4","4","4","2","4"
"1749333053.5596","14:50:53.559","3","68","1.0","83","4","4","4","2","4"
"1749333054.0601","14:50:54.060","3","68","1.0","83","4","4","4","2","4"
"1749333054.5599","14:50:54.559","3","68","1.0","83","4","4","4","2","4"
"1749333055.0595","14:50:55.059","3","68","1.0","83","4","4","4","2","4"
"1749333055.5598","14:50:55.559","3","68","1.0","83","4","4","4","2","4"
"1749333056.0596","14:50:56.059","3","68","1.0","83","4","4","4","2","4"
